SERIAL,SERIAL2,NEW/REN/MOD/DUP/STORAGE,LIC_PER_NO,CALLSIGN,FORMNO,OWNER,DATEPAID,DATEISS,EFFDATE,EXPDATE,OR#,STNLOC,MAKE,TYPE,CLASS,REMARKS,REMARKS2,REMARKS3,REMARKS4,CMMNPOINT,STPUROKBGY,TOWNCITY,PROVINCE,TOOPERATE,E-LONG,N-LAT,TXFREQ,RXFREQ,TXFREQ2,RXFREQ2,TXFREQ3,RXFREQ3,TXFREQ4,RXFREQ4,TXFREQ5,RXFREQ5,TXFREQ6,RXFREQ6,TXFREQ7,RXFREQ7,TXFREQ8,RXFREQ8,SIMPLEX1,SIMPLEX2,SIMPLEX3,SIMPLEX4,SIMPLEX5,SIMPLEX6,SIMPLEX7,SIMPLEX8,SIMPLEX9,SIMPLEX10,SIMPLEX11,SIMPLEX12,SIMPLEX13,SIMPLEX14,SIMPLEX15,NATURE,HOURS,BW/EMISSION,Dir,ANTHGT,ANTTYPE,ANTDB,AUTHPOWER,FREQRANGE,AMOUNT,LICFEE,INSPFEE,MODFEE,SUF,CP,FF,PPUR,PPOSSES,SURCHARGE,REGFEE,DUP,DOC STAMP TAX,BARNAME,INSPDATE
20D16A2068,,REN,P-MM-01679-23,4DDQ-6634c,NRSL-MM-0556-23,SAGITTARIUS SECURITY AGENCY,01/28/2025,01/30/2025,01/28/2025,06/01/2026,1459336,PORTABLE,HYTERA,BD-508,P,-MUST BE OPERATED BY AT LEAST RLMOP HOLDER.,-Renewal of this license should be filed Sixty (60) days before the expiration,,,within the network of the licensee,"J.C. Aquino Ave. Brgy. Lapu-Lapu,","Butuan City,",Agusan del Norte,a private Portable radio.,,,142.235,142.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,H-24,16K0F3E,-ND,-,-Rubber Duckie,-Unity,0.005,136 - 174 MHz.,46070.8,240,240,0,16,0,0,0,0,245.28,0,0,30,/JJJ,
20D16A2067,,REN,P-MM-01678-23,4DDQ-6634b,NRSL-MM-0556-23,SAGITTARIUS SECURITY AGENCY,01/28/2025,01/30/2025,01/28/2025,06/01/2026,1459336,PORTABLE,HYTERA,BD-508,P,-MUST BE OPERATED BY AT LEAST RLMOP HOLDER.,-Renewal of this license should be filed Sixty (60) days before the expiration,,,within the network of the licensee,"J.C. Aquino Ave. Brgy. Lapu-Lapu,","Butuan City,",Agusan del Norte,a private Portable radio.,,,142.235,142.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,H-24,16K0F3E,-ND,-,-Rubber Duckie,-Unity,0.005,136 - 174 MHz.,46070.8,240,240,0,16,0,0,0,0,245.28,0,0,30,/JJJ,
20D16A2063,,REN,P-MM-01680-23,4DDQ-6634d,NRSL-MM-0556-23,SAGITTARIUS SECURITY AGENCY,01/28/2025,01/30/2025,01/28/2025,06/01/2026,1459336,PORTABLE,HYTERA,BD-508,P,-MUST BE OPERATED BY AT LEAST RLMOP HOLDER.,-Renewal of this license should be filed Sixty (60) days before the expiration,,,within the network of the licensee,"J.C. Aquino Ave. Brgy. Lapu-Lapu,","Butuan City,",Agusan del Norte,a private Portable radio.,,,142.235,142.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,H-24,16K0F3E,-ND,-,-Rubber Duckie,-Unity,0.005,136 - 174 MHz.,46070.8,240,240,0,16,0,0,0,0,245.28,0,0,30,/JJJ,
20D16A2056,,REN,P-MM-01681-23,4DDQ-6635a,NRSL-MM-0556-23,SAGITTARIUS SECURITY AGENCY,01/28/2025,01/30/2025,01/28/2025,06/01/2026,1459336,PORTABLE,HYTERA,BD-508,P,-MUST BE OPERATED BY AT LEAST RLMOP HOLDER.,-Renewal of this license should be filed Sixty (60) days before the expiration,,,within the network of the licensee,"J.C. Aquino Ave. Brgy. Lapu-Lapu,","Butuan City,",Agusan del Norte,a private Portable radio.,,,142.235,142.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,H-24,16K0F3E,-ND,-,-Rubber Duckie,-Unity,0.005,136 - 174 MHz.,46070.8,240,240,0,16,0,0,0,0,245.28,0,0,30,/JJJ,
20D16A2064,,REN,P-MM-01682-23,4DDQ-6635b,NRSL-MM-0556-23,SAGITTARIUS SECURITY AGENCY,01/28/2025,01/30/2025,01/28/2025,06/01/2026,1459336,PORTABLE,HYTERA,BD-508,P,-MUST BE OPERATED BY AT LEAST RLMOP HOLDER.,-Renewal of this license should be filed Sixty (60) days before the expiration,,,within the network of the licensee,"J.C. Aquino Ave. Brgy. Lapu-Lapu,","Butuan City,",Agusan del Norte,a private Portable radio.,,,142.235,142.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,H-24,16K0F3E,-ND,-,-Rubber Duckie,-Unity,0.005,136 - 174 MHz.,46070.8,240,240,0,16,0,0,0,0,245.28,0,0,30,/JJJ,
20D16A2062,,REN,P-MM-01684-23,4DDQ-6635d,NRSL-MM-0556-23,SAGITTARIUS SECURITY AGENCY,01/28/2025,01/30/2025,01/28/2025,06/01/2026,1459336,PORTABLE,HYTERA,BD-508,P,-MUST BE OPERATED BY AT LEAST RLMOP HOLDER.,-Renewal of this license should be filed Sixty (60) days before the expiration,,,within the network of the licensee,"J.C. Aquino Ave. Brgy. Lapu-Lapu,","Butuan City,",Agusan del Norte,a private Portable radio.,,,142.235,142.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,H-24,16K0F3E,-ND,-,-Rubber Duckie,-Unity,0.005,136 - 174 MHz.,46070.8,240,240,0,16,0,0,0,0,245.28,0,0,30,/JJJ,
20D16A2070,,REN,P-MM-01685-23,4DDQ-6636a,NRSL-MM-0556-23,SAGITTARIUS SECURITY AGENCY,01/28/2025,01/30/2025,01/28/2025,06/01/2026,1459336,PORTABLE,HYTERA,BD-508,P,-MUST BE OPERATED BY AT LEAST RLMOP HOLDER.,-Renewal of this license should be filed Sixty (60) days before the expiration,,,within the network of the licensee,"J.C. Aquino Ave. Brgy. Lapu-Lapu,","Butuan City,",Agusan del Norte,a private Portable radio.,,,142.235,142.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,H-24,16K0F3E,-ND,-,-Rubber Duckie,-Unity,0.005,136 - 174 MHz.,46070.8,240,240,0,16,0,0,0,0,245.28,0,0,30,/JJJ,
20D16A2065,,REN,P-MM-01686-23,4DDQ-6636b,NRSL-MM-0556-23,SAGITTARIUS SECURITY AGENCY,01/28/2025,01/30/2025,01/28/2025,06/01/2026,1459336,PORTABLE,HYTERA,BD-508,P,-MUST BE OPERATED BY AT LEAST RLMOP HOLDER.,-Renewal of this license should be filed Sixty (60) days before the expiration,,,within the network of the licensee,"J.C. Aquino Ave. Brgy. Lapu-Lapu,","Butuan City,",Agusan del Norte,a private Portable radio.,,,142.235,142.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,H-24,16K0F3E,-ND,-,-Rubber Duckie,-Unity,0.005,136 - 174 MHz.,46070.8,240,240,0,16,0,0,0,0,245.28,0,0,30,/JJJ,
19623A1338,,REN,P-MM-01687-23,4DDQ-6636c,NRSL-MM-0556-23,SAGITTARIUS SECURITY AGENCY,01/28/2025,01/30/2025,01/28/2025,06/01/2026,1459336,PORTABLE,HYTERA,BD-508,P,-MUST BE OPERATED BY AT LEAST RLMOP HOLDER.,-Renewal of this license should be filed Sixty (60) days before the expiration,,,within the network of the licensee,"J.C. Aquino Ave. Brgy. Lapu-Lapu,","Butuan City,",Agusan del Norte,a private Portable radio.,,,142.235,142.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,H-24,16K0F3E,-ND,-,-Rubber Duckie,-Unity,0.005,136 - 174 MHz.,46070.8,240,240,0,16,0,0,0,0,0,0,0,30,/JJJ,
20D16A2069,,REN,P-MM-01683-23,4DDQ-6635c,NRSL-MM-0556-23,SAGITTARIUS SECURITY AGENCY,01/28/2025,01/30/2025,01/28/2025,06/01/2026,1459336,PORTABLE,HYTERA,BD-508,P,-MUST BE OPERATED BY AT LEAST RLMOP HOLDER.,-Renewal of this license should be filed Sixty (60) days before the expiration,,,within the network of the licensee,"J.C. Aquino Ave. Brgy. Lapu-Lapu,","Butuan City,",Agusan del Norte,a private Portable radio.,,,142.235,142.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,H-24,16K0F3E,-ND,-,-Rubber Duckie,-Unity,0.005,136 - 174 MHz.,46070.8,240,240,0,16,0,0,0,0,245.28,0,0,30,/JJJ,
